id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/20836702	10.2307/20836702	Los Angeles: No More Business As Usual	pat gowens	Off Our Backs	30	9	2000-10-01T00:00:00Z	pp. 5, 19	off our backs, inc.	fla			
10.2307/25125046	10.2307/25125046	The Conversion of Rose	Flossie Lewis, Nancy Hopkins	The North American Review	274	1	1989-03-01T00:00:00Z	pp. 45-47	University of Northern Iowa	fla			
10.2307/466874	10.2307/466874	The Waste Product of Graduate Education: Toward a Dictatorship of the Flexible	Marc Bousquet	Social Text		70	2002-04-01T00:00:00Z	pp. 81-104	Duke University Press	fla			
10.2307/25163759	10.2307/25163759	A Selection of Web Resources		OAH Magazine of History	19	2	2005-03-01T00:00:00Z	p. 28	Organization of American Historians	fla			
10.2307/3178513	10.2307/3178513	Birthing and Bureaucratic Women: Needs Talk and the Definitional Legacy of the Sheppard-Towner Act	Kristin Barker	Feminist Studies	29	2	2003-07-01T00:00:00Z	pp. 333-355	Feminist Studies, Inc.	fla			
10.2307/30156853	10.2307/30156853	Kleistian Overtones in E.L. Doctorow's "Ragtime"	Lieselotte E. Kurth-Voigt	Monatshefte	69	4	1977-12-01T00:00:00Z	pp. 404-414	University of Wisconsin Press	fla		E.L. Doctorow's Ragtime depicts crucial events in the life of Coalhouse Walker which are prefigured in Kleist's Michael Kohlhaas. The willful violation of the hero's property initiates grievous wrongs and leads him to a monomaniacal pursuit of justice that is constantly obstructed by corruption. During his struggle the crusader's companion sacrifices her life; he experiences a fateful encounter with the leader of his faith, and finally meets a violent death that might be viewed as suicide. Contextually interpreted, Coalhouse Walker and Booker T. Washington appear to be reincarnations of Kohlhaas and Luther, and the events of the novel that parallel occurrences in the 16th century constitute a universal pattern of order (or disorder) whose repetition characterizes "the activity of this planet." Doctorow's use of Kleist's novella, like the model itself, is an artistic adaptation of literary materials that through meaningful differences from the older version adds a significant level of relevance to the modern transformation of the tale.	
10.2307/41204829	10.2307/41204829	Anarchists at Home	Stewart Holbrook	The American Scholar	15	4	1946-10-01T00:00:00Z	pp. 425-438	The Phi Beta Kappa Society	fla			
10.2307/3346308	10.2307/3346308	Patterns of Achievement of Single Academic Women at Wellesley College, 1880-1920	Patricia A. Palmieri	Frontiers: A Journal of Women Studies	5	1	1980-04-01T00:00:00Z	pp. 63-67	University of Nebraska Press	fla			
10.2307/3567904	10.2307/3567904	Pancho Villa Meets Sun Yat-Sen: Third World Revolution and the History of Hollywood Cinema	Curtis Marez	American Literary History	17	3	2005-10-01T00:00:00Z	pp. 486-505	Oxford University Press	fla			
10.2307/2080216	10.2307/2080216	Narrating Progressivism: Unitarians v. Pluralists v. Students	Peter G. Filene	The Journal of American History	79	4	1993-03-01T00:00:00Z	pp. 1546-1562	Organization of American Historians	fla			
10.2307/743635	10.2307/743635	Progressivism and Anarchism: Judge Henry D. Clayton and the Abrams Trial	Richard Polenberg	Law and History Review	3	2	1985-10-01T00:00:00Z	pp. 397-408	American Society for Legal History	fla			
10.2307/4367012	10.2307/4367012	B N Ganguli	V. K. R. V. Rao, A. Reader	Economic and Political Weekly	13	41	1978-10-14T00:00:00Z	p. 1716	Economic and Political Weekly	fla			
10.2307/25162010	10.2307/25162010	The Spirit of the 1920s	John C. Chalberg	OAH Magazine of History	20	1	2006-01-01T00:00:00Z	pp. 11-14	Organization of American Historians	fla			
10.2307/40857983	10.2307/40857983	RADICAL PERIODICALS IN AMERICA 1890-1950: A BIBLIOGRAPHY WITH BRIEF NOTES	WALTER GOLDWATER	The Yale University Library Gazette	37	4	1963-04-01T00:00:00Z	pp. 133-177	Yale University, Yale University Library	fla			
10.2307/27557465	10.2307/27557465	Edith Wharton's Higher Provincialism: "French Ways" for Americans and the Ends of "The Age of Innocence"	Michael Nowlin	Journal of American Studies	38	1	2004-04-01T00:00:00Z	pp. 89-108	British Association for American Studies, Cambridge University Press	fla			
10.2307/259851	10.2307/259851	The IWW and the Red Scare 1917-24	Patrick Renshaw	Journal of Contemporary History	3	4	1968-10-01T00:00:00Z	pp. 63-72	Sage Publications, Ltd.	fla			
10.2307/27746962	10.2307/27746962	Sinclair Lewis and Theodore Dreiser: New Letters and a Reexamination of Their Relationship	James M. Hutchisson, Stephen R. Pastore	American Literary Realism	32	1	1999-10-01T00:00:00Z	pp. 69-81	University of Illinois Press	fla			
10.2307/23261506	10.2307/23261506	THE FEMINIST REVOLT: THE EMERGENCE OF THE NEW WOMAN IN THE EARLY TWENTIETH CENTURY	GERALD L. MARRINER	Humboldt Journal of Social Relations	1	2	1974-04-01T00:00:00Z	pp. 127-134	Department of Sociology, Humboldt State University	fla			
10.2307/3177675	10.2307/3177675	Feminism as Life-Process: The Life and Career of Lucy Sprague Mitchell	Joyce Antler	Feminist Studies	7	1	1981-04-01T00:00:00Z	pp. 134-157	Feminist Studies, Inc.	fla			
10.2307/1146178	10.2307/1146178	From the Battle to the Gift: The Directing of Anne Bogart	Eelka Lampe	TDR (1988-)	36	1	1992-04-01T00:00:00Z	pp. 14-47	The MIT Press	fla			
10.2307/25149220	10.2307/25149220	From the American Scene: May Day in Toronto: Yesteryear and Now	Ben Lappin	Labour / Le Travail	49		2002-04-01T00:00:00Z	pp. 216-221	Athabasca University Press, Canadian Committee on Labour History	fla			
10.2307/776840	10.2307/776840	Mysticism as the "Tie That Binds": The Case of Edward Carpenter and Modernism	Linda Dalrymple Henderson	Art Journal	46	1	1987-04-01T00:00:00Z	pp. 29-37	College Art Association	fla			
10.2307/2078798	10.2307/2078798	Investigations of an Americanist	Sacvan Bercovitch	The Journal of American History	78	3	1991-12-01T00:00:00Z	pp. 972-987	Organization of American Historians	fla			
10.2307/2711926	10.2307/2711926	Henry Miller's Democratic Vistas	Harold T. McCarthy	American Quarterly	23	2	1971-05-01T00:00:00Z	pp. 221-235	The Johns Hopkins University Press	fla			
10.2307/30301998	10.2307/30301998	Environmental Pollution and Professional Responsibility: Ibsen's "A Public Enemy" as a Seminar on Science Communication and Ethics	HUB ZWART	Environmental Values	13	3	2004-08-01T00:00:00Z	pp. 349-372	White Horse Press	fla		Dr Stockmann, the principal character in Henrik Ibsen's A Public Enemy, is a classic example of a whistle-blower who, upon detecting and disclosing a serious case of environmental pollution, quickly finds himself transformed from a public benefactor into a political outcast by those in power. If we submit the play to a 'second reading', however, it becomes clear that the ethical intricacies of whistle-blowing are interwoven with epistemological issues. Basically, the play is about the complex task of communicating scientific (notably microbiological) data to lay audiences. This becomes even more apparent when we realise that Stockmann was a contemporary of real 'microbe hunters' such as Pasteur and Koch. The play's basic message is that epoch-making scientists (such as Pasteur and Koch) not only produced convincing and reliable data from a scientific point of view, but also acquired the skills and insights needed to enter into a dialogue with their cultural and societal environment.	
10.2307/3813068	10.2307/3813068	Prostitution Viewed Cross-Culturally: Toward Recontextualizing Sex Work in AIDS Intervention Research	Barbara O. De Zalduondo	The Journal of Sex Research	28	2	1991-05-01T00:00:00Z	pp. 223-248	Taylor & Francis, Ltd.	fla			
10.2307/1396111	10.2307/1396111	Guides for the Perplexed: Sex, Manners, and Mores for the Yiddish Reader in America	Eli Lederhendler	Modern Judaism	11	3	1991-10-01T00:00:00Z	pp. 321-341	Oxford University Press	fla			
10.2307/464681	10.2307/464681	Interview: Choreographies: Jacques Derrida and Christie V. McDonald	Christie V. McDonald, Jacques Derrida	Diacritics	12	2	1982-07-01T00:00:00Z	pp. 66-76	The Johns Hopkins University Press	fla			
10.2307/40281731	10.2307/40281731	On to the Centennial	Louis J. Budd	American Literature	76	4	2004-12-01T00:00:00Z	pp. 653-663	Duke University Press	fla			
10.2307/191528	10.2307/191528	Nietzsche and Political Philosophy	Mark Warren	Political Theory	13	2	1985-05-01T00:00:00Z	pp. 183-212	Sage Publications, Inc.	fla			
10.2307/2633723	10.2307/2633723	No God, No Boss, No Husband: Anarchist Feminism in Nineteenth-Century Argentina	Maxine Molyneux	Latin American Perspectives	13	1	1986-01-01T00:00:00Z	pp. 119-145	Sage Publications, Inc.	fla			
10.2307/40959937	10.2307/40959937	"Those by Whose Side We Have Labored": American Jewish Women and the Peace Movement between the Wars	Melissa R. Klapper	The Journal of American History	97	3	2010-12-01T00:00:00Z	pp. 636-658	Organization of American Historians	fla			
10.2307/4637476	10.2307/4637476	The Presence of Reality: The Poetry of Kenneth Rexroth	Gordon K. Grigsby	The Antioch Review	31	3	1971-10-01T00:00:00Z	pp. 405-422	Antioch Review, Inc.	fla			
10.2307/25774454	10.2307/25774454	towards a politics of sexuality	carol anne douglas, alice henry	Off Our Backs	12	6	1982-06-01T00:00:00Z	pp. 2-4, 20-21	off our backs, inc.	fla			
10.2307/30044210	10.2307/30044210	Funkify and Diversify or the Politics of Dancing: Reflections on APSA in Chicago	Ed Webb	PS: Political Science and Politics	38	1	2005-01-01T00:00:00Z	pp. 1-2	American Political Science Association	fla			
10.2307/3050963	10.2307/3050963	Adolf Wolff: "Poet, Sculptor and Revolutionist, but Mostly Revolutionist"	Francis M. Naumann, Paul Avrich	The Art Bulletin	67	3	1985-09-01T00:00:00Z	pp. 486-500	College Art Association	fla		Adolf Wolff (1883-1944), today a neglected figure in the history of American art, is here remembered both for his highly innovative sculpture and for his anarchist and socialist beliefs, concerns that served to inspire the full course of his artistic career. Pupil of Robert Henri and George Bellows, friend of Man Ray and Max Weber, comrade of Emma Goldman and Alexander Berkman, he combined radical politics with radical art during the heyday of the New York avant-garde, between 1912 and 1920.	
10.2307/441207	10.2307/441207	Personal Views	Dorothy Bryant, Ruby Cohn, Malcolm Cowley, Helga Ensele, Jim Fitzmaurice, Ian Franckenstein, Herbert Gold, Doris Grumbach, Alan M. F. Gunn, James Laughlin, Leo E. Litwak, Kenneth D. McCormick, Henry McGuckin, Jessica Mitford, Kate Moses, Howard Nemerov, Ron Padgett, Morris Renek, William L. Shirer, Robert C. Smith, Eric Solomon, James Stern, Studs Terkel, Apple Vail, Kathe Vail, Sharon Walsh, George Wickes	Twentieth Century Literature	34	3	1988-10-01T00:00:00Z	pp. 263-312	Hofstra University	fla			
10.2307/25771521	10.2307/25771521	ideas		Off Our Backs	2	8	1972-04-01T00:00:00Z	p. 23	off our backs, inc.	fla			
10.2307/27557464	10.2307/27557464	Edna St. Vincent Millay and Anne Sexton: The Disruption of Domestic Bliss	Artemis Michailidou	Journal of American Studies	38	1	2004-04-01T00:00:00Z	pp. 67-88	British Association for American Studies, Cambridge University Press	fla			
10.2307/27553426	10.2307/27553426	The Culture of the Provincetown Players	Arnold Goldman	Journal of American Studies	12	3	1978-12-01T00:00:00Z	pp. 291-310	British Association for American Studies, Cambridge University Press	fla			
10.2307/20709137	10.2307/20709137	The Literature of Work	Leonard Vogt	The Radical Teacher		9	1978-09-01T00:00:00Z	pp. 38-42	University of Illinois Press	fla			
10.2307/27668377	10.2307/27668377	The Anglo-American Krimi as German Kulturgeschichte	Theodore Ziolkowski	German Studies Review	30	3	2007-10-01T00:00:00Z	pp. 633-635	German Studies Association, The Johns Hopkins University Press	fla			
10.2307/1868315	10.2307/1868315	Getting Hegel out of History: Max Eastman's Quarrel with Marxism	John P. Diggins	The American Historical Review	79	1	1974-02-01T00:00:00Z	pp. 38-71	American Historical Association, Oxford University Press	fla			
10.2307/3507883	10.2307/3507883	Representing Ethnicity in Autobiography: Narratives of Opposition	Betty Ann Bergland	The Yearbook of English Studies	24		1994-01-01T00:00:00Z	pp. 67-93	Modern Humanities Research Association	fla			
10.2307/27546935	10.2307/27546935	Reality in America: Yet Once More	Jeffrey Hart	The Sewanee Review	102	4	1994-10-01T00:00:00Z	pp. 631-640	The Johns Hopkins University Press	fla			
10.2307/20872530	10.2307/20872530	Theoretical Reflections on Crises and Revolutions	Larry PORTIS	Revue française d'études américaines		64	1995-05-01T00:00:00Z	pp. 253-258	Editions Belin	fla		Les crises ne sont pas seulement des événements: la notion même de crise est une construction conceptuelle et un outil méthodologique. La nature de la crise en tant que phénomène historique a changé au cours du XIXe siècle et c'est sa récurrence qui conduit à l'idée de révolution. En effet les crises cycliques liées aux mutations économiques ont été si régulières qu'un changement révolutionnaire est devenu envisageable pour un nombre croissant de personnes. Les débats idéologiques du XXe siècle ont été conditionnés par ces considérations et la persistance des crises rend l'idée de révolution toujours actuelle.	
10.2307/25472445	10.2307/25472445	Great Divides: The Cultural, Cognitive, and Social Bases of the Global Subordination of Women	Cynthia Fuchs Epstein	American Sociological Review	72	1	2007-02-01T00:00:00Z	pp. 1-22	American Sociological Association	fla		Categorization based on sex is the most basic social divide. It is the organizational basis of most major institutions, including the division of labor in the home, the workforce, politics, and religion. Globally, women's gendered roles are regarded as subordinate to men's. The gender divide enforces women's roles in reproduction and support activities and limits their autonomy, it limits their participation in decision making and highly-rewarded roles, and it puts women at risk. Social, cultural, and psychological mechanisms support the process. Differentiation varies with the stability of groups and the success of social movements. Gender analyses tend to be ghettoized; so it is recommended that all sociologists consider gender issues in their studies to better understand the major institutions and social relationships in society.	
10.2307/658058	10.2307/658058	Structuring the Sexual Revolution	John Levi Martin	Theory and Society	25	1	1996-02-01T00:00:00Z	pp. 105-151	Springer	fla			
10.2307/462202	10.2307/462202	E. L. Doctorow and the Technology of Narrative	Geoffrey Galt Harpham	PMLA	100	1	1985-01-01T00:00:00Z	pp. 81-95	Modern Language Association	fla		The work of E. L. Doctorow is difficult to place on the map of postmodernism because he is equally concerned with narrative or representational technique and with issues of history, power, and identity. Doctorow has focused his concerns in the question of technology, representing in each of his major works technological principles that not only typify the historical epoch in which the novel is set but also characterize the representational mode of the novel itself. The differences among technologies in his novels produce an arc of development that moves from a critique of the coercive power of a system epitomized by the electrical circuit in The Book of Daniel to a celebration of the possibilities for imaginative and representational freedom created by the computer in Loon Lake. Concentrating on the technology of narrative, Doctorow has contributed striking redefinitions of the historical subject while testing and extending the resources of the contemporary novel.	
10.2307/349452	10.2307/349452	Sociology's Founding Fathers: Sexists to a Man	Julia Schwendinger, Herman Schwendinger	Journal of Marriage and Family	33	4	1971-11-01T00:00:00Z	pp. 783-799	National Council on Family Relations	fla		Ward and Thomas expressed concern over the subjection of women but accepted a sexist paradigm for analyzing sexual relationships. Their theories used theoretical mechanisms based on adaptation and complementarity. They envisioned prehistoric women as born superior or equal to men. Eventually, however, women were made biologically inferior by adapting to circumstances created by their passive nature or man's greater passion. Ward's and Thomas' perspectives are identified as corporate liberal and technocratic. In addition to discussing their theories on marriage and the family, Ward's and Thomas' programmatic statements are compared with those of J. S. Mill, the socialists and contemporary women's rights movements.	
10.2307/25772105	10.2307/25772105	emma's party	frances chapman	Off Our Backs	5	2	1975-02-01T00:00:00Z	p. 7	off our backs, inc.	fla			
10.2307/1360551	10.2307/1360551	Dandies, Marginality and Modernism: Georgia O'Keeffe, Marcel Duchamp and Other Cross-Dressers	Susan Fillin-Yeh	Oxford Art Journal	18	2	1995-01-01T00:00:00Z	pp. 33-44	Oxford University Press	fla			
10.2307/367967	10.2307/367967	Young Women and the City: Adolescent Deviance and the Transformation of Educational Policy, 1870-1960	Michael W. Sedlak	History of Education Quarterly	23	1	1983-04-01T00:00:00Z	pp. 1-28	History of Education Society	fla			
10.2307/40071210	10.2307/40071210	Two Leaders, Two Utopias: Jane Addams and Dorothy Day	Maurice Hamington	NWSA Journal	19	2	2007-07-01T00:00:00Z	pp. 159-186	The Johns Hopkins University Press	fla		It makes sense that many women have sought out Utopias. Oppressive and restrictive social systems drive those excluded to claim "there must be something better than this. " While many women have engaged in Utopian flights of fancy, fewer have had the opportunity to bring their vision into being. Jane Addams and Dorothy Day are two women who imagined the possibility of a different world and each initiated influential movements to make their dreams a reality. Both created communities devoted to social service, worked among the oppressed, had radical ideas about social morality, and both were staunch pacifists. These two pioneering women also represent a stark contrast in Utopian thinking. One was a pragmatist feminist who fought for women's suffrage becoming a political force to be reckoned with. The other was a Catholic anarchist who eschewed the right to vote and refused to participate in politics. This article seeks to bring attention to the intriguing continuities and discontinuities of the activist philosophies of Jane Addams and Dorothy Day. While both Utopian visions have their appeal, I suggest that ultimately Day's approach is one of charity and Addams's is one of education, and that the latter holds the most promise for feminist activist theorizing.	
10.2307/20614960	10.2307/20614960	Sex & Politics in Progressive-Era Portland & Eugene: The 1912 Same-Sex Vice Scandal	Peter Boag	Oregon Historical Quarterly	100	2	1999-07-01T00:00:00Z	pp. 158-181	Oregon Historical Society	fla			
10.5406/femteacher.21.3.0269	10.5406/femteacher.21.3.0269	Contents Index to Volume 20 (2010-2011)		Feminist Teacher	21	3	2011-12-31T00:00:00Z	pp. 269-270	University of Illinois Press	fla			
10.2307/3346642	10.2307/3346642	The Republic of the Spirit: Fieldwork in Elsie Clews Parsons's Turn to Anthropology	Desley Deacon	Frontiers: A Journal of Women Studies	12	3	1992-01-01T00:00:00Z	pp. 13-38	University of Nebraska Press	fla			
10.2307/41172457	10.2307/41172457	The Radical Next Door: The Los Angeles Catholic Worker during the Cold War	Leonardo Covis	Southern California Quarterly	91	1	2009-04-01T00:00:00Z	pp. 69-111	Historical Society of Southern California, University of California Press	fla		While some anti-war activist groups faded during the latter part of the cold war, the Los Angeles Catholic Worker organization continued its commitment to world peace through nonviolent resistance. This article explores the organization's founding, programs, and the variety of motives that led individuals to participate in lacw's causes. By linking the struggle against war with the struggle against poverty, and by relying on self-sacrifice as a primary strategy, this peace group remained viable while providing essential services to the poor, expanding its ideological focus and effectiveness, and shaping America's consciousness and conscience.	
10.2307/20093532	10.2307/20093532	Utopia by Taxation: Frank Stephens and the Single Tax Community of Arden, Delaware	Mark Taylor	The Pennsylvania Magazine of History and Biography	126	2	2002-04-01T00:00:00Z	pp. 305-325	The Historical Society of Pennsylvania	fla			
10.2307/3346892	10.2307/3346892	"Sisterhood of the Smiling Countenance and the Merry Laugh": Unsettling the Sentimental in a New York Women's Commune, 1921-24	Janet Lee	Frontiers: A Journal of Women Studies	17	1	1996-01-01T00:00:00Z	pp. 1-29	University of Nebraska Press	fla			
10.2307/40755510	10.2307/40755510	The Inside Stories of the Global American Prison	H. Bruce Franklin	Texas Studies in Literature and Language	50	3	2008-10-01T00:00:00Z	pp. 235-242	University of Texas Press	fla			
10.2307/2165484	10.2307/2165484	Collected Essays		The American Historical Review	96	5	1991-12-01T00:00:00Z	pp. 1648-1656	American Historical Association, Oxford University Press	fla			
10.1525/rac.2009.19.2.207	10.1525/rac.2009.19.2.207	The Zen of Anarchy: Japanese Exceptionalism and the Anarchist Roots of the San Francisco Poetry Renaissance	James Brown	Religion and American Culture: A Journal of Interpretation	19	2	2009-07-01T00:00:00Z	pp. 207-242	Center for the Study of Religion and American Culture, University of California Press	fla		This essay explores the political origins and implications of Beat Zen anarchism, a cultural phenomenon located in the intersection between American anarchist traditions and Zen Buddhism in the San Francisco Poetry Renaissance. Focusing on the writings of D. T. Suzuki, Alan Watts, Gary Snyder, and Philip Whalen, it shows how Beat Zen emerged not primarily from an Orientalist appropriation of "the East" but rather from an Occidentalist, Japanese-centered criticism of American materialism that followed from the complex legacy of the World's Parliament of Religions at the 1893 World's Columbian Exposition. In staking their claims to Zen, in other words, Philip Whalen and Gary Snyder—the Beat poets on whom this essay focuses—along with Alan Watts expressed the views not of cultural imperialists, as one might suppose, but of converts to what they regarded as a superior way of life.   The Beat adoption of Zen intersected with a broadly libertarian and specifically anarchist social milieu in San Francisco that congregated around Kenneth Roxroth's Libertarian Club and Anarchist Circle. The individualist, anti-statist, and anarchist political outlooks of Beat Zen anarchists were directly confirmed by the writings of D. T. Suzuki, who presented Zen as a practice of personal liberation from cultural conditioning. Suzuki's rhetorical approach—which treated Japanese Zen as both a pinnacle of Asian civilization and a key to the liberation of Western humanity from its stifling and destructive rationalism—was informed by Meiji-era Japanese nationalism and exceptionalism and by the universalism that Buddhist missionaries brought to their explanations of Zen to Westerners. Arguing that Beat Zen poets, in adopting Buddhism as it was presented to them, were foremost Occidentalist rather than Orientalist in outlook, this essay concludes that the Beat Zen anarchist cultural formation suggests a libertarian alternative to Orientalism and also reconfigures common conceptions of American radical literary history as primarily Marxist-inflected.	
10.2307/27747000	10.2307/27747000	Cold Warriors: The Nation and Literary Realism	Suzanne Clark	American Literary Realism	33	1	2000-10-01T00:00:00Z	pp. 33-56	University of Illinois Press	fla			
10.1525/boom.2012.2.4.1	10.1525/boom.2012.2.4.1	Echoes of Magón: The march between two cities	Rubén Martínez	Boom: A Journal of California	2	4	2012-12-01T00:00:00Z	pp. 1-7	University of California Press	fla		An essay examining the influence of Ricardo Flores Magón, a 19th-century Mexican revolutionary, on the Occupy LA movement.	
10.5621/sciefictstud.38.3.0385	10.5621/sciefictstud.38.3.0385	Ward Moore’s Freedom Ride	Mike Davis	Science Fiction Studies	38	3	2011-11-01T00:00:00Z	pp. 385-392	SF-TH Inc	fla			
10.2307/127258	10.2307/127258	Russian Anarchists and the Civil War	Paul Avrich	Russian Review	27	3	1968-07-01T00:00:00Z	pp. 296-306	The Editors and Board of Trustees of the Russian Review, Wiley	fla			
10.2307/40425555	10.2307/40425555	Steve Earle	David Gates	BOMB		63	1998-04-01T00:00:00Z	pp. 22-27	New Art Publications	fla			
10.2307/2945644	10.2307/2945644	Whatever Happened to "Red Emma"? Emma Goldman, from Alien Rebel to American Icon	Oz Frankel	The Journal of American History	83	3	1996-12-01T00:00:00Z	pp. 903-942	Organization of American Historians	fla			
10.2307/1346018	10.2307/1346018	"Lives" of Women Writers: Cather, Austin, Porter / and Willa, Mary, Katherine Anne	Blanche H. Gelfant	NOVEL: A Forum on Fiction	18	1	1984-10-01T00:00:00Z	pp. 64-80	Duke University Press	fla			
10.2307/29768164	10.2307/29768164	Patriot Acts	Tony Platt, Cecilia O'Leary	Social Justice	30	1 (91)	2003-01-01T00:00:00Z	pp. 5-21	Social Justice/Global Options	fla			
10.2307/29784831	10.2307/29784831	On Eugene O'Neill's "Philosophical Anarchism"	Robert M. Dowling	The Eugene O'Neill Review	29		2007-01-01T00:00:00Z	pp. 50-72	Penn State University Press	fla			
10.2307/1600562	10.2307/1600562	Judge Learned Hand and the Espionage Act of 1917: A Mystery Unraveled	Geoffrey R. Stone	The University of Chicago Law Review	70	1	2003-01-01T00:00:00Z	pp. 335-358	The University of Chicago Law Review	fla			
10.2307/1286054	10.2307/1286054	"Congress Shall Make No Law...": II	O. John Rogge	Michigan Law Review	56	4	1958-02-01T00:00:00Z	pp. 579-618	The Michigan Law Review Association	fla			
10.2307/1193658	10.2307/1193658	John Cage's Practical Utopias: John Cage in Conversation with Steve Sweeney Turner	Steve Sweeney Turner, John Cage	The Musical Times	131	1771	1990-09-01T00:00:00Z	pp. 469-472	Musical Times Publications Ltd.	fla			
10.2307/25771904	10.2307/25771904	not much junk	Nancy Beck	Off Our Backs	4	6	1974-05-01T00:00:00Z	p. 25	off our backs, inc.	fla			
10.2307/27774187	10.2307/27774187	Amos Pinchot: Rebel Prince	Nancy Pittman Pinchot	Pennsylvania History	66	2	1999-04-01T00:00:00Z	pp. 166-198	Penn State University Press	fla			
10.2307/41697007	10.2307/41697007	DOUGLAS DELEGATES TO THE 1910 CONSTITUTIONAL CONVENTION AND ARIZONA'S PROGRESSIVE HERITAGE	Cindy Hayostek	The Journal of Arizona History	47	4	2006-12-01T00:00:00Z	pp. 347-366	Arizona Historical Society	fla			
10.2307/3817167	10.2307/3817167	Mary Austin and Lincoln Steffens	Karen S. Langlois	Huntington Library Quarterly	49	4	1986-10-01T00:00:00Z	pp. 357-383	University of California Press	fla			
10.2307/492880	10.2307/492880	Peace History, in the American Manner	Charles De Benedetti	The History Teacher	18	1	1984-11-01T00:00:00Z	pp. 75-110	Society for History Education	fla			
10.2307/20709645	10.2307/20709645	Introduction to a CUNY Faculty Development Seminar on Balancing the Curriculum	Susan O'Malley	The Radical Teacher		37	1989-01-01T00:00:00Z	pp. 14-26	University of Illinois Press	fla			
10.2307/40388740	10.2307/40388740	What's Political about the New Feminisms?	Carisa R. Showden	Frontiers: A Journal of Women Studies	30	2	2009-01-01T00:00:00Z	pp. 166-198	University of Nebraska Press	fla			
10.2307/2638728	10.2307/2638728	The Freiheit Prosecutions, 1881-1882	Bernard Porter	The Historical Journal	23	4	1980-12-01T00:00:00Z	pp. 833-856	Cambridge University Press	fla			
10.2307/1340754	10.2307/1340754	"Fighting Fair": Zechariah Chafee, Jr., the Department of Justice, and the "Trial at the Harvard Club"	Peter H. Irons	Harvard Law Review	94	6	1981-04-01T00:00:00Z	pp. 1205-1236	The Harvard Law Review Association	fla		Perceived threats to national security excite a jingoistic sentiment never far beneath the surface of American society. When unchecked, this sentiment can translate into crusades to root out the "disloyal" or the "un-American." History has shown that the first amendment is often the first victim. Not far behind, writes Professor Irons, are its defenders like Zechariah Chafee, Jr., who insist on "fighting fair."	
10.2307/27943459	10.2307/27943459	American Jewish Literary Productivity: A Selected Bicentennial Bibliography	Stanley F. Chyet	Studies in Bibliography and Booklore	11	1/2	1975-12-01T00:00:00Z	pp. 5-24	Hebrew Union College - Jewish Institute of Religion	fla			
10.2307/40403838	10.2307/40403838	Revolutionizing Spirituality: Reflections on Marxism and Religion	John Brentlinger	Science & Society	64	2	2000-07-01T00:00:00Z	pp. 171-193	Guilford Press	fla		A materialist conception of spirituality is implicit in the tradition of classical Marxism, and offers a basis for greater unity between progressive "communities of faith" and secular progressives. Experience from the Sandinista Revolution in Nicaragua suggests that Marxists should rethink their motivations as revolutionaries and their relations to religious traditions; acknowledge the effects on the left itself of the "de-spiritualization" of life under capitalism; and give importance to spirituality as a basis of prolonged struggle for a post-capitalist future and as informing a progressive agenda for morality, community, political economy, and our relationship with nature.	
10.2307/27552762	10.2307/27552762	The Americanization of Sigmund Freud: Adaptations of Psychoanalysis before 1917	F. H. Matthews	Journal of American Studies	1	1	1967-04-01T00:00:00Z	pp. 39-62	British Association for American Studies, Cambridge University Press	fla			
10.2979/nashim.22.111	10.2979/nashim.22.111	“The Advent of a Western Jewess”: Rachel Frank and Jewish                     Female Celebrity in 1890s America	Shari Rabin	Nashim: A Journal of Jewish Women's Studies & Gender Issues		22	2011-10-01T00:00:00Z	pp. 111-135	Indiana University Press	fla		Rachel “Ray” Frank, a renowned American Jewish woman preacher in the 1890s, was inaccurately celebrated by the American press as “the first woman rabbi.” While existing scholarship has used her anecdotally and focused on her origins and career within the American Jewish community, this essay considers her celebrity and image in the public sphere. It traces the social and cultural origins of Frank's career before exploring the various femininities through which she was constructed. Frank is read against other public Jewish women—Jewish actresses Sarah Bernhardt and Adah Menken, as well as Emma Goldman and Emma Lazarus—in order to uncover and interpret the common cultural spectrum on which public Jewish women have been understood. Interpreted as a true woman, a beautiful Jewess and a universalistic preacher, Frank was inserted into existing cultural tropes that made hers a comforting and legible example amidst the era's destabilizing mass of Jewish immigrants.	
10.2307/2710265	10.2307/2710265	Mark Twain: Audience and Artistry	Hamlin Hill	American Quarterly	15	1	1963-04-01T00:00:00Z	pp. 25-40	The Johns Hopkins University Press	fla			
10.2307/260057	10.2307/260057	A Warmth of Soul: Samuel Northrup Harper and the Russians, 1904-43	John B. Poster	Journal of Contemporary History	14	2	1979-04-01T00:00:00Z	pp. 235-251	Sage Publications, Ltd.	fla			
10.2307/3485306	10.2307/3485306	Lincoln Steffens: The Muckraker Reconsidered	Herbert Shapiro	American Journal of Economics and Sociology	31	4	1972-10-01T00:00:00Z	pp. 427-438	American Journal of Economics and Sociology, Inc.	fla			
10.2307/41178001	10.2307/41178001	WOMEN IN LANGUAGE	MARILYN FRENCH	Soundings: An Interdisciplinary Journal	59	3	1976-10-01T00:00:00Z	pp. 329-344	Penn State University Press	fla			
10.2307/40548723	10.2307/40548723	"Puritanism" as Epithet: Common Standards and the Fate of Reticence	ROCHELLE GURSTEIN	Salmagundi		101/102	1994-01-01T00:00:00Z	pp. 95-116	Skidmore College	fla			
